"","Avg.mu","Avg.wt","Mean_Log2FC","t-score","P.t","P.w","Median.MU","Median.WT","Median_Log2FC"
"ARID1A_mut",0.390923541583435,0.385283787299791,0.0209649881347252,0.507149988117177,0.612697880534875,0.692347288027667,0.41392299330487,0.402705251373127,0.039638106598592
"CHD6_mut",0.389687412278703,0.386464471301767,0.0119815406960815,0.189262226692513,0.850979994529353,0.93100171759858,0.398011327332488,0.409705900975152,-0.0417791818371028
"CHD7_mut",0.387471051749012,0.386648656387337,0.00306532993236589,0.0464670726457269,0.963206106354919,0.980550949228058,0.39927444370952,0.409705900975152,-0.0372079394444807
"CREBBP_mut",0.374861648965143,0.388330811066678,-0.0509279434290145,-0.852918825881161,0.397239538350829,0.390167308207682,0.395515674817423,0.413372557745903,-0.0637077450548859
"EP300_mut",0.386871331764151,0.386682258396018,0.000705252278503396,0.0137209351603623,0.989085899750013,0.753639711817855,0.395508591872681,0.40905877624029,-0.0485991183436016
"KDM6A_mut",0.353533582479565,0.398421699291984,-0.172448958759932,-3.99725572772303,9.57807588679819e-05,4.60736221382119e-05,0.357637321053485,0.421069769450411,-0.235562005408818
"CHD6_amp",0.364114172169914,0.389073650107379,-0.0956523826241304,-1.44357682400767,0.156079735615232,0.120183166243035,0.381614163121136,0.413886613448875,-0.117120871366209
"CHD7_amp",0.343962166898423,0.391719564758468,-0.187571298009976,-2.98387569583696,0.00441226483614945,0.000912444404041477,0.335017923638976,0.415395167630366,-0.3102461505438
"PRDM9_amp",0.381802840721133,0.387857685472982,-0.0226995523611219,-0.468709854498492,0.640243243493116,0.653058214057769,0.3877271304583,0.413693930577246,-0.0935221031093526
"CHD3_del",0.336566265861249,0.392746456567698,-0.222707677159274,-3.09149132833614,0.00331749224026152,0.00123525166535128,0.336858705504289,0.41392299330487,-0.29721880844223
"CREBBP_del",0.343773820869489,0.39119961902861,-0.186445280709091,-2.56156146519139,0.0141104429532199,0.00797330076001051,0.344990638163976,0.413772082085063,-0.262279094624614
"HDAC4_del",0.338009309185133,0.392107765483179,-0.214187233315229,-2.88757168230753,0.00600273849401746,0.00469066719800751,0.32341815573008,0.413886613448875,-0.3558349178038
"PHF23_del",0.334247605983878,0.393194394974116,-0.234325528869234,-3.28833822214037,0.00186551898799852,0.000618438528474846,0.330780863641132,0.414114128640246,-0.324152651025347
"CHD6_ampmut",0.376925175372905,0.388520790335006,-0.0437136436011277,-0.870144433691158,0.386688278046867,0.332099157052644,0.392645968404836,0.413886613448875,-0.0760065035542301
"CHD7_ampmut",0.363689631320356,0.391732156747271,-0.10715976638926,-2.19359522661657,0.0305714634750338,0.0122717513465248,0.374415414966124,0.416777907645266,-0.154638972995287
"CREBBP_delmut",0.363354395612821,0.392532439777952,-0.111434527381526,-2.29892872156113,0.0233568645305493,0.0185569988616188,0.37982988850242,0.415123255303887,-0.128186319882266
"EP300CREBBP_mut",0.384782937039813,0.387383516783717,-0.00971774328422871,-0.230211840899998,0.818202423034382,0.950681880050533,0.398034824626746,0.41162096442805,-0.0484218028578973
"EP300CREBBP_delmut",0.374843997711071,0.392354538855487,-0.0658675889609705,-1.6459749701689,0.101114046912139,0.135880570495849,0.38989139116188,0.415123255303887,-0.0904674540793108
