"","name","HR","PV","HR.adj","P.adj"
"1","KDM6A",0.791,0.315,0.819,0.396
"2","ARID1A",1.121,0.615,1.049,0.836
"3","EP300",0.388,0.01,0.394,0.012
"4","CREBBP",0.769,0.429,0.754,0.398
"5","CHD6",0.396,0.069,0.406,0.079
"6","CHD7",0.66,0.324,0.669,0.349
"7","ARID2",0.607,0.235,0.589,0.212
"8","SETD2",1.024,0.953,0.982,0.964
"9","CHD2",0.289,0.083,0.363,0.159
"10","CHD4",0.316,0.05,0.408,0.13
"11","ARID1B",1.034,0.928,0.953,0.896
"12","ATRX",1.118,0.775,1.258,0.561
"13","TET1",1.407,0.354,1.329,0.446
"14","PBRM1",0.889,0.781,0.719,0.437
"15","NSD1",0.567,0.216,0.652,0.356
"16","SMARCA4",0.427,0.147,0.524,0.276
"17","CHD8",0.63,0.366,0.559,0.258
"18","CHD1",0.225,0.137,0.266,0.189
"19","CHD5",0.554,0.314,0.645,0.458
"20","CHD3",0.479,0.302,0.39,0.189
"21","BRD4",0.216,0.127,0.187,0.096
"22","KDM2B",0.871,0.786,1.206,0.719
"23","DNMT3A",0.176,0.084,0.311,0.256
"24","MBD1",0.93,0.887,1.121,0.827
"25","PRDM9",1.244,0.67,0.968,0.951
"26","HIST1H3B",0.174,0.082,0.229,0.145
"27","BRD8",0.418,0.223,0.525,0.371
"28","DAXX",1.685,0.307,1.837,0.238
"29","DNMT1",0.321,0.258,0.865,0.889
"30","SETD1A",0.274,0.198,0.294,0.226
"31","TET3",0.961,0.946,0.957,0.941
"32","HDAC9",0.593,0.465,0.522,0.366
"33","PHF6",1.918,0.363,2.022,0.329
"34","TET2",1.265,0.742,1.395,0.643
"35","EZH2",2.278,0.417,2.049,0.48
"36","H3F3B",4.491,0.037,5.761,0.018
"37","H3F3A",1.31,0.645,1.282,0.675
"38","HDAC2",0.864,0.839,1.046,0.951
"39","HIST1H1B",0,0.994,0,0.994
"40","SMARCB1",0,0.993,0,0.993
"41","SMARCE1",1.997,0.24,3.228,0.051
"42","KDM5C",0,0.996,0,0.996
"43","MBD4",1.38,0.749,0.856,0.879
"44","SMARCD1",2.168,0.191,1.785,0.337
"45","ING1",2.178,0.44,4.727,0.129
"46","HDAC4",3.325,0.234,2.805,0.311
"47","PHF23",0,0.996,0,0.996
"48","MLL",NA,NA,NA,NA
"49","MLL2",NA,NA,NA,NA
"50","MLL3",NA,NA,NA,NA
"51","MLL4",NA,NA,NA,NA
