"","GSE13507_surv.p","GSE13507_coxph.p","GSE13507_surv.p_BH","GSE13507_coxph.p_BH","GSE13507_HR","GSE32894_surv.p","GSE32894_coxph.p","GSE32894_survreg.pval_BH","GSE32894_coxph.qval_BH","GSE32894_HR"
"uni.noj__ARID1A_mut",0.53074688095933,0.490307101547177,0.571573564110048,0.541314022050856,1.12947867803737,0.487892613909013,0.488575974861015,0.512287244604463,0.513004773604066,0.864959121038008
"uni.noj__CHD6_mut",0.00757761314129966,0.00314741223682737,0.0191195208095033,0.00777595964392645,1.69401691867093,0.0148675092745339,0.0110017033673609,0.0195136059228257,0.0144397356696611,1.88213840200681
"uni.noj__CHD7_mut",0.00244332437750863,0.000445468012502981,0.00932905671412385,0.00207885072501391,1.83653404170604,0.00282302351121327,0.00105728335256142,0.00456026874888297,0.00164466299287332,1.68871671749675
"uni.noj__CREBBP_mut",0.00782246657844952,0.00306420427356635,0.0191195208095033,0.00777595964392645,1.65299389995928,1.53736644122454e-05,3.26991180475417e-08,0.000488698926471831,1.18431451648937e-06,2.1597317068219
"uni.noj__EP300_mut",0.000511063694146594,8.19037827862311e-05,0.00555559804934033,0.000867766922667679,2.05943610021721,0.0003113425597145,1.63295353657257e-05,0.00108969895900075,5.30403425181575e-05,1.77536838009185
"uni.noj__KDM6A_mut",0.000925933008223389,0.00105835326977567,0.00555559804934033,0.00370423644421486,0.600384744523895,0.000258539558806004,7.14650423122922e-06,0.000987151042713832,2.72866525192388e-05,0.479719887056408
"uni.noj__TP53_mut",0.000559867668442672,8.00123949025635e-05,0.00555559804934033,0.000867766922667679,2.18027766110363,9.7433440701762e-05,5.66639118871262e-07,0.000669688483383005,5.41012141940628e-06,2.65572181641289
"uni.noj__CHD6_amp",0.0338826164940317,0.0601434736268418,0.0508239247410475,0.0871043411147364,0.730497160810467,0.00306883325898233,0.000818072456524084,0.00477374062508362,0.00132150166053891,0.574228166023833
"uni.noj__CHD7_amp",0.0901439369955453,0.14630823024508,0.126201511793763,0.19822405388043,0.765738558891184,0.0109313521802375,0.00569258297017162,0.0148102190829025,0.00771253176603896,0.598482692747546
"uni.noj__PRDM9_amp",0.00576678470712777,0.00129902134435739,0.018631150592259,0.00419683818946233,1.87744133255897,0.000770331957485106,9.81772649301589e-05,0.00147063373701702,0.000179280222915942,1.97283655010701
"uni.noj__CHD3_del",0.00819408034692999,0.0132022701212606,0.0191195208095033,0.0291839655312076,0.633139812211266,0.000481540145801738,2.6683505145435e-05,0.00122090697388929,7.47138144072181e-05,0.39128199593914
"uni.noj__CREBBP_del",0.492628814661413,0.35089380903506,0.548792286493668,0.43345705821978,1.19464424977096,0.982387530450606,0.950565365289322,0.982387530450606,0.950565365289322,0.987579181114591
"uni.noj__HDAC4_del",0.299189011251516,0.429175280031441,0.359026813501819,0.495875980341009,0.864873520432821,0.0261615599347515,0.0200255533862784,0.0316744941203408,0.0240306640635341,0.619882148374939
"uni.noj__PHF23_del",0.0108133281670826,0.0180609316092318,0.0230664056367719,0.035301374991794,0.646014878901439,0.000523245845952555,3.14717187077243e-05,0.00122090697388929,7.77536579837895e-05,0.387748832280117
"uni.noj__TP53_del",0.0115332028183859,0.0184911964242731,0.0230664056367719,0.035301374991794,0.643354614600017,0.000499702038255843,2.9211813632187e-05,0.00122090697388929,7.66810107844909e-05,0.359067033660332
"uni.noj__CHD6_ampmut",0.292264581144133,0.433707032423384,0.359026813501819,0.495875980341009,0.866563118840664,0.0224906686164908,0.013999437046876,0.0286244873300791,0.0178174653323876,0.666231069542978
"uni.noj__CHD7_ampmut",0.984126138550377,0.765269173621175,0.984126138550377,0.765269173621175,1.05981580190894,0.191646673132254,0.194192369528818,0.211820007146175,0.214633671584483,0.759985727539719
"uni.noj__CREBBP_delmut",0.177952423329686,0.11009668911467,0.236960563090985,0.154135364760539,1.34248224031029,0.034079192405344,0.0262721805107267,0.0397590578062347,0.0306508772625145,1.48058731154824
"uni.noj__EP300CREBBP_mut",0.00169379935906028,0.000377219725999841,0.00711395730805318,0.00198040356149917,1.87072615272373,8.87808843105304e-05,9.23591675553427e-07,0.000669688483383005,5.64295677428609e-06,1.89430589511633
