num.MUT	num.WT	avg.MU	avg.WT	tscore	P.t	P.w	log2FC	negLogP
ARID1A_mut	99	292	0.227023577616162	0.246240464695205	-1.11189613064971	0.267433532027284	0.794989991060698	-0.117225722463062	0.572784139851128
CHD6_mut	30	361	0.255161798966667	0.240229074531856	0.462265759871205	0.646851985188306	0.553420713439003	0.0870015864644438	0.189195084663617
CHD7_mut	30	361	0.257728647466667	0.240015763022161	0.625280131944379	0.535771118252664	0.357318516735578	0.102723748992764	0.271020701555678
CREBBP_mut	47	344	0.218706692021277	0.244471905087209	-1.1106344676566	0.270866284152397	0.45704000460916	-0.160671314132556	0.567245050034538
EP300_mut	61	330	0.261451007032787	0.237663752866667	0.954338710534358	0.342813578190197	0.414644781573121	0.137618738676755	0.464941984834335
KDM6A_mut	102	289	0.203390157176471	0.25478115516609	-3.04894362261673	0.0025659452884792	0.0235842233463189	-0.325008709525966	2.590752607963
TP53_mut	195	196	0.250892235184615	0.231905938846939	1.12393213279382	0.261745502949701	0.0667550343528783	0.11352805551383	0.582120771199863
CHD6_amp	37	354	0.15519235272973	0.25038257859887	-4.41313376999153	5.1039688697672e-05	0.000462349422729335	-0.690076715376652	4.29209198313673
CHD7_amp	41	350	0.145485874634146	0.252607511471429	-6.45556426655377	7.60615818656888e-09	0.000149220233683319	-0.796018452108232	8.11883464673411
PRDM9_amp	74	317	0.195656488959459	0.252047223003155	-3.12569741176457	0.00215891530770108	0.0223630610112498	-0.365371101059524	2.66576439431214
CHD3_del	42	349	0.130134623261905	0.254761878790831	-7.34715887428462	1.63757086068828e-10	7.35393270961318e-07	-0.969144563927641	9.78579989821248
CREBBP_del	37	354	0.134427216756757	0.252552945918079	-7.25545795393604	3.36589871923213e-10	2.26511226617901e-05	-0.909760607856595	9.4728989561975
HDAC4_del	39	352	0.115480211974359	0.255323356840909	-9.6419900840527	8.35488533887355e-16	6.98637808139275e-08	-1.14467985984853	15.0780595059185
PHF23_del	43	348	0.130431599976744	0.255083307689655	-7.46781209792279	7.44218563004382e-11	6.05161926353793e-07	-0.96767505689031	10.128299501595
TP53_del	44	347	0.136565209795455	0.254664785717579	-6.93313834976354	8.37809876390662e-10	2.43996919815909e-06	-0.899009480285535	9.07685452433206
CHD6_ampmut	61	330	0.197443345622951	0.24949547209697	-2.42757219400959	0.0171882744096289	0.0212118264698348	-0.337574887552145	1.764767721451
CHD7_ampmut	70	321	0.194981544571429	0.251491718862928	-3.11304746348621	0.00227845199103843	0.0277530523974213	-0.367173319444757	2.64236011794691
CREBBP_delmut	78	313	0.186580494461538	0.255029620789137	-3.85196276458252	0.00017289140684491	0.00188411252157792	-0.450866649210779	3.76222659176124
EP300CREBBP_mut	101	290	0.249218923544554	0.238642891713793	0.541600738269322	0.588797352046891	0.577763454100137	0.0625602538931797	0.230034151785384
EP300CREBBP_delmut	126	265	0.225660599619048	0.248846469143396	-1.29817790695219	0.195407234534855	0.167513331791965	-0.141101371204542	0.709059361495422
TP53_delmut	217	174	0.2383502599447	0.245146801534483	-0.392289025179742	0.695089969634867	0.845439906235253	-0.0405627398859586	0.157958978450021
