num.MUT	num.WT	avg.MU	avg.WT	tscore	P.t	P.w	log2FC	negLogP
ARID1A_mut	99	292	-0.250377083333333	-0.200740714285714	-0.351575219864455	0.725577120198468	0.97742847973546	0.318769266265505	0.139316420446606
CHD6_mut	30	361	-0.153634482758621	-0.218409798270893	0.275138089966647	0.784922699687137	0.79649650658602	-0.507535519099452	0.105173111092119
CHD7_mut	30	361	-0.124420689655172	-0.220851296829971	0.444917203357936	0.659183356019933	0.65466194134644	-0.827848895704881	0.180993766844853
CREBBP_mut	47	344	-0.237208888888889	-0.210178851963746	-0.144223816666301	0.885819886020548	0.972595478247116	0.17454055904127	0.0526545743424659
EP300_mut	61	330	-0.0204067796610169	-0.249336277602524	1.44824014049766	0.151034555945381	0.144164832260984	-3.61097236782803	0.820923676948884
KDM6A_mut	102	289	-0.461042	-0.12369347826087	-2.5972783288542	0.0100433066349327	0.0350246397683697	1.89812874704351	1.99812327754184
TP53_mut	195	196	-0.156722872340426	-0.270104787234043	0.88877820235213	0.374698148154336	0.335910509691242	-0.785303465877079	0.426318453285547
CHD6_amp	37	354	-0.602691428571429	-0.173458651026393	-2.22426006769807	0.0313016089462894	0.0457966398522599	1.79682775207434	1.50443333853865
CHD7_amp	41	350	-0.774337837837838	-0.15219203539823	-3.83090962736043	0.000341362323734002	0.00369293063358125	2.34707027996795	3.46678441379352
PRDM9_amp	74	317	-0.567038571428571	-0.132519281045752	-2.68793326302402	0.00837890856645087	0.00708523124564446	2.09724459282149	2.07681254872511
CHD3_del	42	349	-0.890318421052632	-0.137312130177515	-4.04084364137475	0.000188685020903651	0.000233438442201192	2.69686232704939	3.72426257570736
CREBBP_del	37	354	-0.748208571428571	-0.158522873900293	-3.20142614832253	0.00250308841176202	0.0119878729844214	2.23874946577368	2.60152381037489
HDAC4_del	39	352	-1.05647777777778	-0.124148235294118	-5.22566872918562	3.88730357260277e-06	2.37196192532883e-05	3.08912676200238	5.41035154252845
PHF23_del	43	348	-0.893897435897436	-0.13466350148368	-4.16634793847491	0.000120364865650772	0.000160748401672401	2.73075042580904	3.9195002645796
TP53_del	44	347	-0.8426425	-0.138505654761905	-3.88126337594855	0.000292808564028147	0.000486654142406801	2.60497580402988	3.53341622523736
CHD6_ampmut	61	330	-0.368908620689655	-0.185053144654088	-1.12457809226897	0.263929194649758	0.269525807057865	0.99532385053154	0.578512567438101
CHD7_ampmut	70	321	-0.461916923076923	-0.161475884244373	-2.05570437864163	0.0421902658654883	0.0791738342763564	1.51631468216418	1.3747877378665
CREBBP_delmut	78	313	-0.460274666666667	-0.15190365448505	-2.05927743765236	0.0415773363791904	0.0780459314247839	1.59933846089895	1.38114333686297
EP300CREBBP_mut	101	290	-0.0936755102040816	-0.255623741007194	1.17045300438157	0.243311498765658	0.186549110148303	-1.4482779972065	0.613837366069309
EP300CREBBP_delmut	126	265	-0.262413114754098	-0.18987874015748	-0.550458307941146	0.582476152113617	0.780854693706183	0.466761441411472	0.234721850932807
TP53_delmut	217	174	-0.216377033492823	-0.209705389221557	-0.051412166629049	0.959027192641165	0.985142759041978	0.045183440230259	0.0181690784950534
