num.MUT	num.WT	avg.MU	avg.WT	tscore	P.t	P.w	log2FC	negLogP
ARID1A_mut	99	292	0.451740625	0.413148214285714	0.64883789739442	0.517261149923772	0.851528124917598	0.128835228922001	0.286290139041778
CHD6_mut	30	361	0.566910344827586	0.410974639769452	2.18702218780287	0.0346311947912482	0.303959729718933	0.464071223804983	1.46053252484398
CHD7_mut	30	361	0.576810344827586	0.410147262247839	2.36240763510644	0.0230526554235977	0.164827720749158	0.491955040444327	1.63727904123343
CREBBP_mut	47	344	0.52684	0.408884592145015	1.36966745945405	0.176274237374021	0.117093056025129	0.365671186162138	0.753811155561548
EP300_mut	61	330	0.550764406779661	0.399222397476341	2.17039926188677	0.0327138617085406	0.0154943438055969	0.464242666021491	1.48526818654704
KDM6A_mut	102	289	0.346707	0.450644565217391	-1.629103245393	0.105197600834135	0.119304812901045	-0.378273027078539	0.977994164710585
TP53_mut	195	196	0.60941170212766	0.236591489361702	7.27801046173348	2.34649610963668e-12	6.91940677380211e-12	1.36501902523124	11.6295801614876
CHD6_amp	37	354	0.513734285714286	0.413688856304985	1.33981167832727	0.186705634933767	0.47493358285538	0.312476264135832	0.728842574478822
CHD7_amp	41	350	0.498594594594595	0.414751032448378	0.944779380939402	0.349819018101883	0.493346615807606	0.265621669731696	0.456156583558929
PRDM9_amp	74	317	0.65076	0.3709	5.35432428620582	2.97455833262702e-07	6.71423797365693e-05	0.811095308345993	6.52657750991615
CHD3_del	42	349	0.358642105263158	0.430237278106509	-0.933499343708773	0.354994244243501	0.154248563075998	-0.262587659868245	0.449778688391529
CREBBP_del	37	354	0.693171428571429	0.395271554252199	5.09227671472004	3.78374984783985e-06	0.00190603873114979	0.810368054885055	5.42207758350014
HDAC4_del	39	352	0.592119444444444	0.405095	2.39119858258508	0.020848011619204	0.0506440526206047	0.547627952535177	1.68093535958646
PHF23_del	43	348	0.375984615384615	0.428442729970326	-0.681368981533351	0.498668209069045	0.247886414583677	-0.188428741256529	0.302188317897491
TP53_del	44	347	0.3653275	0.42986755952381	-0.870361498715395	0.387898405938697	0.159549811719902	-0.23470188315214	0.411282005121393
CHD6_ampmut	61	330	0.536913793103448	0.402225157232704	2.23815201690841	0.0273784286804721	0.203497165455866	0.416687149598109	1.56259148078138
CHD7_ampmut	70	321	0.532289230769231	0.400160128617363	2.08028276588503	0.0398798078025032	0.131799093141787	0.411632951739376	1.39924694340234
CREBBP_delmut	78	313	0.574656	0.385213953488372	3.07766797860459	0.00254563041324758	0.00613313671711013	0.577038627349047	2.59420464904778
EP300CREBBP_mut	101	290	0.542314285714286	0.380941726618705	2.65407507763339	0.00868475040166369	0.00248721228523486	0.509558851727141	2.06124265859142
EP300CREBBP_delmut	126	265	0.561359016393443	0.356546456692913	3.72439374057796	0.000238697874831173	0.00018011681143641	0.654833672875129	3.62215144757558
TP53_delmut	217	174	0.567742583732057	0.241858682634731	6.02470068883542	4.93922045861108e-09	1.20000508056054e-08	1.23107262460302	8.30634158897886
