"","ARID1A_mut","CHD6_mut","CHD7_mut","CREBBP_mut","EP300_mut","KDM6A_mut","CHD6_amp","CHD7_amp","PRDM9_amp","CHD3_del","CREBBP_del","HDAC4_del","PHF23_del","CHD6_ampmut","CHD7_ampmut","CREBBP_delmut","EP300CREBBP_mut","EP300CREBBP_delmut"
"ADAM28",-0.353243487070612,-0.516956249949203,-0.240347351522384,0.0297135452464088,0.085293463907012,-0.163603393935625,-0.256732020646878,-0.343170766441297,-0.175126710722856,-0.128381470392113,-0.424412632236593,-0.282037414426311,-0.133879424185767,-0.341034980039726,-0.420891623681786,-0.467516717193116,0.0786754943953276,-0.153409112994903
"CD180",-0.199369511896479,-0.164766521159445,0.153812841645432,0.354542132839271,0.462353761001827,-0.670735344473299,-0.70877541767805,-0.664145468114978,-0.277527314849334,-0.726716518173443,-0.645332243059843,-0.681056839693399,-0.726872178979183,-0.679753070016266,-0.648626739522756,-0.411200369204109,0.468075753276386,0.190857463114043
"CD79B",-0.145514230153954,-0.106298131610946,-0.182259721379526,0.0753154472412347,0.10381533292507,-0.436973452146759,-0.500081805849101,-0.464378764968438,-0.574067333811329,-0.55998577320309,-0.523346823936497,-0.514659325460418,-0.56855206474076,-0.484232143443994,-0.542199096707942,-0.444256999700693,0.127176468467997,-0.113246504876017
"BLK",-0.0462482265743133,-0.135761220120621,-0.113873251884084,0.00684834360147872,0.0829652441657234,-0.337818955933401,-0.369785239418845,-0.390028171260998,-0.457110693043129,-0.392154016786094,-0.459497920998821,-0.38943335584156,-0.393606357768556,-0.36841282675837,-0.448183681984792,-0.459275573330126,0.0837447887191449,-0.14648471536838
"CD19",0.0150125327725508,0.0844200777472254,0.0512618926303884,0.0904174806126946,0.176293061684665,-0.365895023480889,-0.396949418711875,-0.365613267487091,-0.384980806377345,-0.465424266395523,-0.393597194918832,-0.395800979865296,-0.466309355418753,-0.3546166425382,-0.380453065429273,-0.331540083320044,0.172877124224682,-0.00630871492143053
"MS4A1",0.0254045035577858,-0.107692397024635,-0.033514287186044,0.0386359348050541,0.127889781684653,-0.374055372985278,-0.396219127385224,-0.407984907397383,-0.444653676969739,-0.415655755792644,-0.462062329141581,-0.396357277962988,-0.417382417044476,-0.383908081273114,-0.447650033070946,-0.441507856615814,0.123339739815097,-0.107666852867902
"TNFRSF17",-0.0885559989429475,-0.0827960259934486,0.082151406164681,0.0930495710039062,0.217622131607346,-0.391895217393739,-0.432484667150149,-0.428946959537286,-0.356062959287695,-0.474216055356313,-0.4679966513561,-0.44283009837075,-0.479008301861417,-0.406371278997469,-0.441197568999405,-0.399902418985519,0.205244404035627,0.00725794833296574
"IGHMBP2",0.165347643055107,0.284251472947,0.0384213626698885,-0.190924603983715,-0.191354835609114,0.253016480256521,0.278945047318411,0.29698332538833,0.0587104500523169,0.229069805655452,0.288925714281676,0.283704451545671,0.233029173414619,0.299453579332768,0.316689524010105,0.189689742041245,-0.206943532054995,-0.0527425101709583
"GNG7",0.0347962857670897,0.0155365739286349,-0.408807857319291,-0.168600794877222,-0.229470177262497,-0.103773104851776,-0.15617248984141,-0.130752956583533,-0.636545623457748,-0.231575750272716,-0.256292247950525,-0.1933033343216,-0.245367014962873,-0.163928497094037,-0.271723516725674,-0.330320357359046,-0.192102749559962,-0.341241703243717
"MICAL3",-0.0294472786922089,-0.0102006416546903,0.055745650596794,0.212727541290751,0.164767934651438,-0.212173452429457,-0.129195995153136,-0.0862039294370662,0.0991700681762526,-0.0991651209542767,-0.118658235658092,-0.132935741593875,-0.0930729704640247,-0.129525162101029,-0.0668417394291118,0.00540254308411938,0.195492126672912,0.163752694027396
"SPIB",-0.130806304628642,-0.101083092463675,0.00700087368556265,0.189978507090698,0.239927172215793,-0.46418111582971,-0.498129058646671,-0.490674358371132,-0.355383589749142,-0.51719922830582,-0.499175059586,-0.505640299513526,-0.520095166717237,-0.481410624207533,-0.511688817614126,-0.404925162616769,0.257426750261819,0.00951896192658217
