uni.noj__ARID1A_mut.up.ES	uni.noj__CHD6_mut.up.ES	uni.noj__CHD7_mut.up.ES	uni.noj__CREBBP_mut.up.ES	uni.noj__EP300_mut.up.ES	uni.noj__KDM6A_mut.up.ES	uni.noj__CHD6_amp.up.ES	uni.noj__CHD7_amp.up.ES	uni.noj__PRDM9_amp.up.ES	uni.noj__CHD3_del.up.ES	uni.noj__CREBBP_del.up.ES	uni.noj__HDAC4_del.up.ES	uni.noj__PHF23_del.up.ES	uni.noj__CHD6_ampmut.up.ES	uni.noj__CHD7_ampmut.up.ES	uni.noj__CREBBP_delmut.up.ES	uni.noj__EP300CREBBP_mut.up.ES	uni.noj__EP300CREBBP_delmut.up.ES	uni.adj__ARID1A_mut.up.ES	uni.adj__CHD6_mut.up.ES	uni.adj__CHD7_mut.up.ES	uni.adj__CREBBP_mut.up.ES	uni.adj__EP300_mut.up.ES	uni.adj__KDM6A_mut.up.ES	uni.adj__CHD6_amp.up.ES	uni.adj__CHD7_amp.up.ES	uni.adj__PRDM9_amp.up.ES	uni.adj__CHD3_del.up.ES	uni.adj__CREBBP_del.up.ES	uni.adj__HDAC4_del.up.ES	uni.adj__PHF23_del.up.ES	uni.adj__CHD6_ampmut.up.ES	uni.adj__CHD7_ampmut.up.ES	uni.adj__CREBBP_delmut.up.ES	uni.adj__EP300CREBBP_mut.up.ES	uni.adj__EP300CREBBP_delmut.up.ES	uni.noj__ARID1A_mut.dn.ES	uni.noj__CHD6_mut.dn.ES	uni.noj__CHD7_mut.dn.ES	uni.noj__CREBBP_mut.dn.ES	uni.noj__EP300_mut.dn.ES	uni.noj__KDM6A_mut.dn.ES	uni.noj__CHD6_amp.dn.ES	uni.noj__CHD7_amp.dn.ES	uni.noj__PRDM9_amp.dn.ES	uni.noj__CHD3_del.dn.ES	uni.noj__CREBBP_del.dn.ES	uni.noj__HDAC4_del.dn.ES	uni.noj__PHF23_del.dn.ES	uni.noj__CHD6_ampmut.dn.ES	uni.noj__CHD7_ampmut.dn.ES	uni.noj__CREBBP_delmut.dn.ES	uni.noj__EP300CREBBP_mut.dn.ES	uni.noj__EP300CREBBP_delmut.dn.ES	uni.adj__ARID1A_mut.dn.ES	uni.adj__CHD6_mut.dn.ES	uni.adj__CHD7_mut.dn.ES	uni.adj__CREBBP_mut.dn.ES	uni.adj__EP300_mut.dn.ES	uni.adj__KDM6A_mut.dn.ES	uni.adj__CHD6_amp.dn.ES	uni.adj__CHD7_amp.dn.ES	uni.adj__PRDM9_amp.dn.ES	uni.adj__CHD3_del.dn.ES	uni.adj__CREBBP_del.dn.ES	uni.adj__HDAC4_del.dn.ES	uni.adj__PHF23_del.dn.ES	uni.adj__CHD6_ampmut.dn.ES	uni.adj__CHD7_ampmut.dn.ES	uni.adj__CREBBP_delmut.dn.ES	uni.adj__EP300CREBBP_mut.dn.ES	uni.adj__EP300CREBBP_delmut.dn.ES	uni.noj__ARID1A_mut.up.pval	uni.noj__CHD6_mut.up.pval	uni.noj__CHD7_mut.up.pval	uni.noj__CREBBP_mut.up.pval	uni.noj__EP300_mut.up.pval	uni.noj__KDM6A_mut.up.pval	uni.noj__CHD6_amp.up.pval	uni.noj__CHD7_amp.up.pval	uni.noj__PRDM9_amp.up.pval	uni.noj__CHD3_del.up.pval	uni.noj__CREBBP_del.up.pval	uni.noj__HDAC4_del.up.pval	uni.noj__PHF23_del.up.pval	uni.noj__CHD6_ampmut.up.pval	uni.noj__CHD7_ampmut.up.pval	uni.noj__CREBBP_delmut.up.pval	uni.noj__EP300CREBBP_mut.up.pval	uni.noj__EP300CREBBP_delmut.up.pval	uni.adj__ARID1A_mut.up.pval	uni.adj__CHD6_mut.up.pval	uni.adj__CHD7_mut.up.pval	uni.adj__CREBBP_mut.up.pval	uni.adj__EP300_mut.up.pval	uni.adj__KDM6A_mut.up.pval	uni.adj__CHD6_amp.up.pval	uni.adj__CHD7_amp.up.pval	uni.adj__PRDM9_amp.up.pval	uni.adj__CHD3_del.up.pval	uni.adj__CREBBP_del.up.pval	uni.adj__HDAC4_del.up.pval	uni.adj__PHF23_del.up.pval	uni.adj__CHD6_ampmut.up.pval	uni.adj__CHD7_ampmut.up.pval	uni.adj__CREBBP_delmut.up.pval	uni.adj__EP300CREBBP_mut.up.pval	uni.adj__EP300CREBBP_delmut.up.pval	uni.noj__ARID1A_mut.dn.pval	uni.noj__CHD6_mut.dn.pval	uni.noj__CHD7_mut.dn.pval	uni.noj__CREBBP_mut.dn.pval	uni.noj__EP300_mut.dn.pval	uni.noj__KDM6A_mut.dn.pval	uni.noj__CHD6_amp.dn.pval	uni.noj__CHD7_amp.dn.pval	uni.noj__PRDM9_amp.dn.pval	uni.noj__CHD3_del.dn.pval	uni.noj__CREBBP_del.dn.pval	uni.noj__HDAC4_del.dn.pval	uni.noj__PHF23_del.dn.pval	uni.noj__CHD6_ampmut.dn.pval	uni.noj__CHD7_ampmut.dn.pval	uni.noj__CREBBP_delmut.dn.pval	uni.noj__EP300CREBBP_mut.dn.pval	uni.noj__EP300CREBBP_delmut.dn.pval	uni.adj__ARID1A_mut.dn.pval	uni.adj__CHD6_mut.dn.pval	uni.adj__CHD7_mut.dn.pval	uni.adj__CREBBP_mut.dn.pval	uni.adj__EP300_mut.dn.pval	uni.adj__KDM6A_mut.dn.pval	uni.adj__CHD6_amp.dn.pval	uni.adj__CHD7_amp.dn.pval	uni.adj__PRDM9_amp.dn.pval	uni.adj__CHD3_del.dn.pval	uni.adj__CREBBP_del.dn.pval	uni.adj__HDAC4_del.dn.pval	uni.adj__PHF23_del.dn.pval	uni.adj__CHD6_ampmut.dn.pval	uni.adj__CHD7_ampmut.dn.pval	uni.adj__CREBBP_delmut.dn.pval	uni.adj__EP300CREBBP_mut.dn.pval	uni.adj__EP300CREBBP_delmut.dn.pval
TCGA-2F-A9KO	-1.67827726671877	31.7015492958274	33.3565959251955	-2.23670275081335	11.8720252979745	7.48778061619136	9.69321195225646	-2.24028145116171	-8.86662958374225	41.8562581848311	-4.50475171599539	-1.24239031863489	50.898923665444	12.2276004151707	28.071225570389	-6.81820371680517	7.57256021323165	-3.12378654816051	39.9394067532755	11.3544176882306	67.2942824573311	-4.72005038078288	26.7606613148514	-1.04302630636424	52.0834389526812	-1.68083293636445	-7.74180330501289	60.2157133850522	-2.56628354948696	-1.4500135064753	85.5188108142424	20.4591553180269	55.4278953794906	-5.99065472782465	6.57869450205802	-2.44294025176284	-7.0765732263463	-23.8434837280046	-259.239907359078	-17.3588975772586	-10.7545222336501	-3.21798263665275	-5.6182257962582	3.8205648109421	3.30073625777466	-3.08313260581991	4.34282295962596	2.38601780580579	-3.22563441414329	-6.65080025605569	1.24026157247488	3.21025467245025	-12.2313236973313	-85.6638222515101	-15.2275640769728	-21.4197578928419	-33.5291071301151	1.60759921822548	-20.1719124974473	1.72802931953485	-20.2883272554141	3.78830806766416	3.64391358478523	-3.29818694081243	2.81252319041617	3.31201326439014	-3.48906798765723	-12.9231326717863	-27.6149855444351	4.39408505351551	-4.92074542866673	-14.3849207172867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2F-A9KP	47.7319334487897	38.0987103344682	21.1002582205751	-6.94393332933728	-5.96329066509515	47.9480175702963	23.3184435500875	52.3456047210869	-5.64893681852136	105.168144140447	22.6699196246704	29.5079082388534	128.623499118545	41.0204796162485	124.219731171742	24.9434975081113	-7.40528360798676	-3.22075567263665	103.764207386742	11.3654393082767	40.2520495307507	-10.1468783702496	-4.46172352929497	23.7788516383029	73.744877312574	29.0900891195571	-6.99095414499284	223.675322698791	30.6689028897545	19.3037166883879	300.006257057042	46.737689982413	106.523283651047	-3.1786388667369	-6.91580347846876	-2.96178124698331	-20.762220939771	-12.5373083766051	0.904765781891728	6.50652201012353	5.05640189105281	-21.7526457758065	-27.8468015144515	-42.125762973972	1.19092618254999	-20.6320538271574	-25.5427476676444	-25.6632544446511	-20.8247790728183	-26.9860352265838	-214.544421835797	-29.015098483668	6.93465244761991	2.98203805261691	-26.1011407284629	-12.9789858864903	-9.87416244634006	12.0975303088865	4.11204697487658	-21.5366257293734	-31.8084580272539	-30.4533903447188	6.80095318041862	-17.6527484572333	-21.983954685054	-25.4259376958078	-18.0698013747819	-21.3184045971823	-113.697445170367	-7.30864155716946	6.9718093485655	3.84156275727167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2F-A9KQ	27.0041558537462	13.0557228077866	-4.32914833478828	-7.16684986886037	-7.82474015742744	47.5460356534102	20.1228126962203	36.1579451614887	-7.20384040052991	115.03969602363	11.3227949838008	25.0834619109434	133.752519139284	29.2284882810744	58.7707297527513	-4.16130934361721	-9.45838073099845	-6.55520582712154	61.4481027676798	11.9980669931414	11.3870989520532	-6.96114556170029	-4.99724520290686	24.0626798868813	52.5629428637855	24.272785893973	-8.10151118995906	222.374935637502	19.8290947973004	14.8592263677144	274.487677984668	36.8936814348918	70.8012088535107	4.10056038272789	-7.39143678717192	-3.33840449401041	-4.88180410525954	2.63674555272185	3.61396505543519	7.10465402327139	6.34011528613417	-19.2814144790867	-25.1888372205616	-34.5566236988745	-4.26005004889928	-21.0887770688692	-17.9590700272304	-23.2461576229971	-20.8547006440786	-20.5121345429527	-132.648519480952	-16.9428797684914	8.35425218725714	5.36886591232822	-9.94275041346222	-9.92545416138704	1.85143399483659	10.6912680105356	3.71803273895892	-19.3143055205747	-21.4119465867705	-27.2172647875094	6.40691213203191	-17.5621211402035	-17.373454631644	-21.4993283848601	-17.2656670569313	-14.5833923939654	-88.3150456442869	-9.7140525386707	6.89135689355132	3.91726076571016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2F-A9KR	-2.45543358098116	10.9366388039627	-2.07505885818204	-3.06669491031183	-2.70469978206417	54.7607511377107	17.8461183249312	23.5035510011334	-3.53045945227319	139.693810295304	5.75115114767888	8.73088071564164	170.824441527431	22.8204365448806	44.5538150705375	-4.63494700528541	-3.65731843025467	-2.2855927593452	21.1400563280613	-1.18191093711914	27.3957454563247	1.27042368183636	-0.80090564423122	20.7622793852039	59.3290800868071	11.8772544002693	-4.54880764198286	310.204713014035	18.1773511837333	6.3112316052001	423.595803271498	20.8079155524838	57.333919641891	4.85086253423674	2.86518260426239	49.0507428002788	3.61102873964824	2.45676983563916	1.24917020542037	2.78418816400306	1.52358428536329	-24.2679153316361	-23.9468355662106	-19.8882719624788	-10.8642419128187	-23.5496886757396	-9.93041775129485	-11.6541002997815	-23.9475049768458	-19.6103300333152	-86.1770701587302	-9.83394537941407	2.2229199828774	1.75525173688229	1.09416566608276	3.2876251737585	-8.3564583030959	-2.02511862244577	-7.68249163700603	-19.1076393573417	-30.7215458212933	-15.0592879424105	2.80633350231373	-21.9098664917003	-12.8581115065335	-11.6872179968101	-22.6676469555749	-13.8020881201932	-55.191994542826	-11.6739380601073	-3.45394163844775	-13.2373695345132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2F-A9KT	15.0091069926345	57.9336763958508	38.9941303353587	-1.77444907529938	-1.81035234191748	-1.04988851798064	16.8749501035723	13.3237819531982	5.87949592393797	39.1124361308841	8.97256648172996	-1.42511860700562	54.7299018133742	29.2857426691452	70.168329956216	18.882546121311	-2.50330531633771	12.8846386573977	38.9444518173777	-1.03805531285955	17.5955277221662	0.87166030656027	-1.02187352488833	-1.47729629016459	22.8756613714432	7.36020978771872	3.20729138153255	90.426232018417	8.16050147443131	-1.89734021677453	152.667922752711	9.16734676376188	30.508412551242	3.91111356195516	-1.12741974058046	50.2960942861143	-3.20808422878306	-28.9542296823359	-252.367128555692	1.59030232937824	-17.6332461707152	-6.04664781493414	-19.1232274096928	-21.4002603205348	-31.4303281849618	-9.20434909788234	-10.6293468036947	-7.34395538571582	-9.79361238713056	-19.8604856319191	-159.119115389226	-19.7633358363416	-14.6640925443099	-157.767371591537	-7.21961326254328	3.27770947098585	0.913348368796399	-2.23155491460694	-11.6071860400175	-5.92957402372592	-5.00149200993611	-11.569099092974	-7.73993035464087	-8.47087018379326	-7.43405932167163	-7.76511486940341	-9.50720599427523	1.18889138793929	-30.5666306714117	-8.89063314949153	-4.99816594474007	-20.7014151309507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-2F-A9KW	49.1601390072389	24.6379359982161	11.9123197375811	-3.26849289827665	9.61029832372851	-5.55065109979552	-2.17548296182762	15.0761143323747	-6.22401771490232	-3.53612084858733	18.400066144321	2.43619002428208	-3.40100547476439	-0.52915345362607	42.3936218564592	33.9307342595144	4.32782238212439	19.6655504728331	66.0407312588496	6.72322617964286	21.231035413326	2.43107272394346	-1.89757150977282	-4.94112412154395	-1.88808064972642	7.99700597994863	-3.43724837527706	-2.35155988499446	15.2214778043431	-0.754724554756938	-2.32737216716135	-0.635598809782717	32.5869836619371	8.36402612143619	-2.36495932200546	52.1057891748089	-26.2180203490615	-13.7966216890108	1.24604168452572	-14.5533680314179	-29.7580373927831	2.92307791178844	2.49100629011559	-9.28475473281849	4.53162275403157	3.52814116319478	-13.5902392327838	-3.97305817367637	3.57801172599089	1.66879047580269	-38.4240934695565	-32.8802921712899	-18.8832956069254	-196.647287550075	-20.4602249793159	-9.71746509588078	-6.93523176970184	-4.63493640770231	-6.29564499933245	2.16156096331706	3.20904305606685	-6.57440178720912	2.1464062633396	2.9578530356126	-8.50748033648355	-3.70909681610307	3.10909253407585	1.6390811861426	-34.0432700678704	-22.1478462762382	-3.16668838466788	-22.8292192586257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7M	15.8861311640074	41.034446967602	48.7407406530752	-1.73664026359094	-3.7310373050019	31.7266958095372	25.4713255210521	29.7495742446134	-3.63633552638762	68.1933484641344	24.163648637883	19.6590939593116	86.1413427281429	46.1519504269835	109.513228927502	43.1194599940751	-3.53438439575346	21.9351070704144	46.1875457791777	5.73162699342439	85.9016742695768	-5.23861813587044	-2.83106671375158	13.5666698438951	94.871157785291	11.9925822872952	-2.65600709288641	173.662088224474	39.4541281217552	10.7194754830529	240.115222768092	50.5215329335381	100.220417791868	5.42282137586334	-4.44288681105539	-2.01073639401518	-8.50729597999249	-12.630722710404	-287.877161153937	1.45524311524771	1.36611781147558	-16.1521612001536	-30.2454737300593	-31.2373884824145	-15.7126210225483	-16.3166910691138	-24.0084149164279	-16.4745592289347	-16.753848311516	-32.1994264879798	-212.710684882222	-39.6951107127994	2.00416690083858	-140.927549471647	-11.4860338070248	-8.64849507752196	-36.534926094056	6.66733941429758	0.957854830760484	-14.8997095088202	-42.5337930617987	-18.0642799555718	-2.2474670250568	-15.7001244344705	-22.9471305087727	-14.6155585042551	-16.3418960436809	-27.4561800784124	-113.670409552739	-10.3242614478182	3.19156019416785	1.47134635857761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7N	-1.68466906266241	-3.08050087689706	-6.2132079288025	-5.8384567713871	-1.43873689774565	-5.51439817227922	-3.31897038750218	-4.75295885212742	-18.8147578235504	-2.81857606858584	-9.39245248250327	-4.87164301548489	-2.79748358789358	-3.57380110649493	-6.15201247425234	-14.2605855125448	-2.03586084290315	-9.58944460806684	28.6235540708405	1.90861840534439	-2.05808128018488	-2.94331539511737	-1.75540812159414	-5.42255991290811	-1.9780374009576	-5.62958263986031	-15.5042086420406	-2.1219544963658	-6.83006622958785	-6.18160549652043	-2.21186711921187	-1.69657088841541	-5.28163536602013	-7.0534377969466	-1.1445486500372	-5.30726023781368	-8.51349144680159	-8.72342186310185	1.95736865637702	0.752928621613547	-6.00223168143854	5.66707572970824	6.94309800175262	6.37823688706576	12.4286896024784	6.67456598031851	9.15130718019075	6.90159104428009	6.77217410117037	6.17952746413734	6.04098318874928	7.22331636261727	-4.32785834392217	3.71911652189881	-14.332208339341	-11.1960445165215	-10.6227684816637	-6.66951095492079	-5.53569860955079	6.30010036777056	3.9298588643901	8.95498512204449	11.6718065067316	5.96720220824161	7.69475652990188	7.52056259218928	6.17215666980416	2.82549912926959	5.35662296501566	5.08580906835812	-5.97850650845707	1.48614856314237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7O	-1.29876592134643	-1.0855170009972	9.99345468929377	-2.05869093971744	-3.52409947261695	31.4767910175979	13.386817975299	6.5736839573188	-4.62070529651287	89.6550513251238	-2.6610657931579	4.76682200640393	107.890185381515	16.7706372216384	17.2358211807072	-3.8668504040679	-3.58274186796942	-4.3687765138694	-0.45366494725755	6.34371835911624	25.2264839448273	-7.23208187061979	-1.67384517755806	15.6283675096976	47.6883327457365	8.28983483075359	-3.09677214592614	178.835451064496	-1.20038720502495	3.42582328282326	239.453647046037	27.4074839768552	31.8240119541718	-3.99659690278551	-2.8560663459415	-2.60528733899626	1.73719573715979	0.944758659377318	1.00417598265142	2.1804362949711	3.48097295366328	-12.6402121076803	-13.3354220043511	-4.6484968343917	-3.73438535122261	-11.6433120620208	-2.76452942256673	-4.43275084359923	-11.5591530848981	-11.671817196386	-26.5325407768823	1.64303613749947	3.35884288602855	2.3206817946561	1.3654444683212	-14.3983852648129	-6.3647511730203	5.71404177106944	1.74820587327777	-9.1325451367305	-23.3723993337715	-6.91991046069935	1.13989877055685	-9.67673386071778	-3.10057125681925	-3.8223637482713	-9.67238542654634	-14.5825150139703	-41.4566278617612	3.21065714961459	2.92981781759148	1.46315001839976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4Z-AA7Q	5.25050050209846	52.348973317682	27.8738822227758	-3.52416909451649	9.70190717871165	13.7282607628587	-3.32759939117542	-5.54701429319836	-2.16843433848834	-1.15556391803684	-3.42589513127694	-3.04883536720907	-0.754890568524119	-0.906682879315484	-3.10807899357861	-7.50736211661774	3.97943166014715	-3.11697039930112	-0.704170740754939	-1.09047166705895	13.119881707682	-4.39943575058758	18.8033205094675	-1.33205721991037	-1.9452000332214	-5.2099187883386	1.87308773628805	-1.30344805380708	-2.16733797231671	-3.72554912664783	-0.579456078505992	-1.87360644545319	-2.83825525395556	-5.77659200178896	6.93461988404133	-1.59345930470503	-3.70678357414503	-27.9179036674258	-169.664686676137	1.77336984311897	-12.4696269344471	-4.69988860127317	3.13624137196327	4.77587243948043	-7.55524438861678	-3.68343808045185	3.57279510289566	1.8784119443155	-4.16848025078866	-4.06278068559736	2.46571759656284	4.89280342657924	-10.0730674215986	1.09373318524559	-5.01690950897327	-2.90799483290314	-9.75914928557239	-2.25180803815716	-14.9272258660223	0.930607415667794	-6.79389357306352	5.70140546704474	-8.47461820487119	2.70273235038519	3.19518346085664	2.7416921185982	-4.00674646018722	-3.21291900478239	2.86692821140897	6.06036531827681	-5.66302871453937	-9.32011262887666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
